variable,role,definition
ai_application_index,核心解释变量,AI词频、词频占比、AI投资及投资水平标准化后的等权综合指数
ai_actual_application_index,机制变量/应用水平变量,仅由AI投资总额、AI投资增加值和AI投资水平构造，不包含词频信息
ai_conversion_efficiency,创新机制变量,在给定AI文本关注度、年度和行业后，实际AI应用指数的残差，衡量AI关注度向实际应用落地的转化效率
quality_efficiency_index,首选被解释变量,自构造提质增效指数，由质量子指数和效率子指数等权合成
quality_efficiency_entropy,稳健性被解释变量,五个提质增效组成变量经极差标准化后用熵权法加权合成
quality_efficiency_pca,稳健性被解释变量,五个提质增效组成变量标准化后提取第一主成分，并按主指数方向调整符号
quality_subindex,被解释变量分维度,质量维度，由ROA、营业利润率和TFP标准化合成
efficiency_subindex,被解释变量分维度,效率维度，由总资产周转率和劳动生产率标准化合成
tfp,备选/稳健性变量,采用中间投入作为代理变量的控制函数方法估计企业层面TFP
ln_assets,控制变量,总资产取自然对数，反映企业规模
leverage,控制变量,资产负债率，统一为比例口径
rd_intensity,控制变量,研发投入金额除以营业收入，研发投入金额来自研发投入情况表PT_LCRDSPENDING
rd_investment_amount,控制变量来源,研发投入金额，来自研发投入情况表PT_LCRDSPENDING
firm_age,控制变量,上市公司年龄
revenue_growth,控制变量,营业收入增长率
industry_2digit,固定效应,证监会行业代码前三位，制造业二级行业
year,固定效应,年度
